token,value,dimension
Hz⋮1/m,0.00000000333564095322874785998743959239420766063088328057547611167195,cycles/m
A_vel,2187691.26392058179159644397498869341942728259902855189163104,m/s
A_mom,1.99285191623657955870871360755081349802891616076096741686197e-24,m*kg/s
N_mom,2.73092453230546682052103192694036248659930621786907686254168e-22,m*kg/s
N_mom ̇,0.510998950028076088246424494692266848628298500594898983379057,MeV/c
kg⋮J,89875517806435918.6321978659562088693875645555480166073405353,J
J⋮kg,0.0000000000000000111265005688553349830462993610212078346003456129062195637425,kg
kg⋮eV,560958859883646258843549768353014518.818020706079978151801920,eV
eV⋮kg,1.78266192320573459023026463029763987260211113836511617713713e-36,kg
E_∆,0.000000000000207214623577065037052553417858479362610095485212946979631791,J
E_∆ ̇,1.29333195323950181119688296479780510428481887370361192839823,MeV
E_e ̇,0.510998950028076088246424494692266848628298500594898983379057,MeV
E_+ ̇,938.272088205556698393731261329144156224305182458002303301395,MeV
E_n ̇,939.565420158796200204928144293941961328590001331705915229793,MeV
E_τ ̇,1776.86269362378362522802865950359090348793081418910336682026,MeV
E_tri ̇,2808.92113277063702597613230450678471888332083245154552953799,MeV
E_e,0.0000000000000818710577846018681400724591029539782116524278224388448651252,J
E_+,0.000000000150327761626389991406795692169526642481445180365366100563763,J
E_n,0.000000000150534976249967056443848245587385121844055275850579047543395,J
E_τ,0.000000000284684788994152100164037264306919817433962242481427991978203,J
E_tri,0.000000000450038780629233840090499366761224865922332893378864709908545,J
μ_B/hc,46.6864477302115774685886560366278903058616304426425715341858,1/m*T
μ_N/hc,0.0254262341068939902804385193554864976180999959145581489632516,1/m*T
A_90,1.00000008888172757311990506448693682650691707274304754725918,A
C_90,1.00000008888172757311990506448693682650691707274304754725918,C
μ_+'μ_N,2.79277562234849205811245629085142236550960929831708861258378,-
μ_+'μ_B,0.00152099314114035103027811953570967831133553545030129528405500,-
kg⋮K,6509657262047572173750605919176222081607.14764260986603659602,K
K⋮kg,1.53617918688372284104143021334010174551125389349163164628072e-40,kg
R,8.31446261978164823226709698071824714268144195191395144312076,J/mol*K
V_m_0,0.0227109546459335721464375754028318920702343586916529583668844,m^3/mol
V_m_1,0.0224139695494039695499013820901375692773100011760700304632463,m^3/mol
μ_n/μ_+',-0.684997004903261491114743365597373335241274274160863130334150,-
γ_e,176085962907.619728313709146469323194427937825057132988282909,1/s*T
γ_e ̇,28024.9514058438397001184784149444978440426716725991040875000,MHz/T
γ_+' ̇,42.5763852810155127163554176058095508667258703749938010539501,MHz/T
γ_+',267515318.430493602807240784264274793739732383081594262800202,1/s*T
μ_e/μ_+,-658.210687490440505082324962681775272426194355736777033884888,-
μ_e/μ_+',-658.227587029050725683533779292238011855738742256789799889536,-
μ_+/μ_B,0.00152103220255242807501907173470127098715118239469622601717045,-
μ_+/μ_N,2.79284734506470463120591203225881471000376698956928024217520,-
g_+,5.58569469012940926241182406451762942000753397913856048435040,-
d_220,0.000000000192015560171992761289786942089561464757012347383052565034589,m
a,0.000000000543102018763798540749797085170654869039644069671587715875457,m
g_μ,-2.00233184172840312100719196717888210208605767990752943783354,-
γ_+,267522187.170410969891026399844555764834260231354206074728598,1/s*T
γ_+ ̇,42.5774784749261743055733112508631141029357250697430174043049,MHz/T
μ_+,1.41060679716310730208605915594564187303801316558953690305579e-26,J/T
μ_e,-9.28476469207108848229854668130408214398986659476120163685872e-24,J/T
a_μ,0.00116592060110719739593877728927052005330992957927941881133936,-
a_e,0.00115965218025404901421436569333246239250498964499749625432941,-
c,299792458.097898067100794773544544131361807175533912848383689,m/s
1/m⋮Hz,299792458.097898067100794773544544131361807175533912848383689,Hz
r_e,0.00000000000000281794032699478519341139126536961649412643462603402897155519,m
a_0,0.0000000000529177210521100955370443245697651398149229391417645754082514,m
σ_e,6.65245873589771112649843843728985955783296765892767206440982e-29,m^2
G_F/(ℏc)^3,0.0000116637852183352842045191442836385058888290572744871363312097,1/GeV^2
eV⋮A_mass,0.00000000107354410142667000475156886712701584097431116321367034004402,u
A_mass⋮eV,931494103.195445304610574939178943095898416993313979441477292,eV
J⋮1/m,5034116567783844453122477.23149893976452248527601615163662562,cycles/m
eV⋮1/m,806554.393884386823819696927425490491062073747280009716156514,cycles/m
1/m⋮eV,0.00000123984198410221360327497500811747582984975810283508214443552,eV
1/m⋮J,1.98644585705373079505866142355490978158351146589993384796683e-25,J
ℏc ̇,197.326980422730718426418357936631166662339367096538960365709,MeV fm
A_mass,1.66053906821322488228384537073691586172462041367745049046034e-27,kg
kg⋮A_mass,602214075623045991946866105.280162492482108251189978780768225,u
A_r(e),0.000548579909049540763997588021515687754819327964870299114561045,-
A_r(+),1.00727646658226323169974975737160481576754929829515943718879,-
A_r(n),1.00866491547289208445625493821818832578188904440447943248414,-
A_r(tri),3.01550071572159906063738329527375419227862880817622009716041,-
m_e/A_mass,0.000548579909049540763997588021515687754819327964870299114561045,u
m_∆/A_mass,0.00138844889062885275650518084658351001433974610931999529535237,u
m_+/A_mass,1.00727646658226323169974975737160481576754929829515943718879,u
m_n/A_mass,1.00866491547289208445625493821818832578188904440447943248414,u
m_τ/A_mass,1.90754046521641768987817823051490934104657424931333283492896,u
m_tri/A_mass,3.01550071572159906063738329527375419227862880817622009716041,u
A_e_pot,27.2113862459608560098512137201353815836045435272065583543999,V
